STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3126;20171231;   10;   9.9;   3.9;    3;   1.9;   6;    0.000;   0;   7.8;  10.2;  991.58;   10.1;   82.38;   13.1;    6.2;    4.2;eor
       3126;20180101;   10;  13.9;   4.3;    3;   5.3;   6;    5.233;   0;   6.3;   7.7;  990.51;    7.7;   73.50;   11.8;    4.2;    0.1;eor
       3126;20180102;   10;   9.1;   2.8;    3;   5.8;   6;    0.433;   0;   7.1;   7.7;  996.06;    4.5;   91.42;    7.0;    2.4;   -0.9;eor
       3126;20180103;   10;  19.1;   6.2;    3;   5.2;   6;    1.500;   0;   7.8;   7.8;  979.89;    6.1;   83.00;    8.3;    3.0;    2.3;eor
       3126;20180104;   10;  16.4;   4.8;    3;   2.5;   6;    0.717;   0;   7.2;   8.3;  983.37;    6.7;   84.38;    8.5;    5.3;    3.9;eor
       3126;20180105;   10;  16.7;   3.6;    3;   0.0;   0;    3.100;   0;   7.3;   7.8;  986.18;    6.8;   79.46;   10.5;    2.7;   -1.3;eor
       3126;20180106;   10;   7.1;   1.7;    3;   0.0;   6;    0.067;   0;   7.9;   7.4;  998.73;    3.9;   91.96;    6.8;    0.8;   -2.4;eor
       3126;20180107;   10;   8.8;   3.3;    3;   0.0;   0;    0.017;   0;   7.1;   5.6; 1017.12;    1.6;   81.38;    3.9;   -1.6;   -2.9;eor
       3126;20180108;   10;   9.0;   3.0;    3;   0.0;   0;    6.533;   0;   5.0;   4.1; 1020.70;   -0.9;   72.63;    2.2;   -2.8;   -5.1;eor
       3126;20180109;   10;   9.4;   2.8;    3;   0.2;   6;    0.000;   0;   7.8;   5.8; 1006.96;    2.2;   79.17;    5.0;   -1.2;   -2.2;eor
       3126;20180110;   10;   5.0;   1.4;    3;   0.0;   6;    5.117;   0;   6.0;   7.3; 1002.22;    3.7;   92.13;    9.3;   -0.6;   -3.4;eor
       3126;20180111;   10;   3.2;   0.9;    3;   0.0;   0;    0.000;   0;   7.8;   6.2; 1006.89;    0.1;   99.42;    2.3;   -1.5;   -3.3;eor
       3126;20180112;   10;   5.1;   1.4;    3;   0.1;   6;    0.000;   0;   8.0;   7.1; 1016.73;    2.0;   99.75;    3.3;    1.0;    0.6;eor
       3126;20180113;   10;  10.0;   3.0;    3;   0.1;   8;    0.000;   0;   7.8;   5.7; 1019.51;    1.2;   84.46;    2.3;    0.1;   -0.4;eor
