STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3379;20171231;   10;  21.0;   6.2;    3;   0.7;   6;    6.600;   0;   5.8;   7.9;  950.52;   10.1;   64.71;   13.5;    3.5;    0.3;eor
       3379;20180101;   10;  18.8;   5.0;    3;   0.1;   6;    2.067;   0;   6.0;   6.1;  947.28;    6.2;   64.67;    8.4;    3.5;   -0.9;eor
       3379;20180102;   10;  19.3;   6.1;    3;   3.1;   8;    0.517;   0;   7.4;   6.0;  951.52;    4.4;   72.04;    7.2;    3.0;    0.7;eor
       3379;20180103;   10;  26.6;   6.4;    3;  16.8;   6;    0.200;   0;   7.6;   6.7;  942.60;    5.4;   75.17;   14.5;    2.9;    1.6;eor
       3379;20180104;   10;  21.6;   5.6;    3;  23.4;   6;    0.000;   0;   7.7;   8.3;  941.60;    6.8;   82.58;   11.8;    4.1;    3.2;eor
       3379;20180105;   10;  14.5;   3.9;    3;   2.5;   6;    3.433;   0;   7.6;   9.1;  942.76;    9.7;   76.33;   12.9;    6.9;    3.8;eor
       3379;20180106;   10;   6.9;   1.7;    3;   0.0;   0;    6.167;   0;   7.2;   8.7;  946.65;    7.0;   87.46;   11.4;    2.9;    0.6;eor
       3379;20180107;   10;   8.2;   2.6;    3;   0.0;   0;    0.000;   0;   7.8;   7.2;  955.28;    3.1;   93.50;    6.0;    0.5;   -0.8;eor
       3379;20180108;   10;   9.9;   4.0;    3;   0.0;   0;    0.017;   0;   7.9;   7.6;  958.38;    5.1;   86.25;    6.5;    3.4;    3.1;eor
       3379;20180109;   10;  11.1;   3.1;    3;   0.0;   0;    3.100;   0;   7.0;   6.8;  951.82;    6.9;   70.63;   15.2;    2.5;    0.4;eor
       3379;20180110;   10;   4.0;   1.5;    3;   0.0;   0;    6.600;   0;   7.0;   6.7;  951.20;    3.9;   84.04;    8.9;    0.9;   -1.8;eor
       3379;20180111;   10;   4.2;   1.3;    3;   0.0;   6;    0.000;   0;   8.0;   6.5;  953.67;    2.1;   91.33;    3.7;    0.0;   -1.1;eor
       3379;20180112;   10;   5.9;   2.3;    3;   0.0;   6;    2.033;   0;   7.4;   6.2;  961.37;    2.8;   83.29;    4.6;    1.5;    1.3;eor
       3379;20180113;   10;   8.4;   3.2;    3;   0.0;   8;    0.000;   0;   7.9;   5.9;  960.88;    2.1;   83.42;    3.1;    0.2;   -0.1;eor
       3379;20180114;   10;   6.9;   2.2;    3;   0.4;   8;    0.000;   0;   7.9;   5.3;  958.69;    0.2;   85.96;    0.9;   -1.0;   -3.1;eor
       3379;20180115;   10;   7.8;   2.0;    3;   0.5;   6;    4.100;   0;   6.5;   5.2;  954.19;    1.9;   75.04;    7.1;   -2.5;   -4.0;eor
       3379;20180116;   10;  23.2;   5.7;    3;   9.2;   8;    0.633;   0;   7.3;   6.7;  939.53;    5.3;   75.96;    8.5;    1.1;    0.2;eor
       3379;20180117;   10;  19.9;   6.4;    3;   5.3;   8;    1.750;   0;   7.3;   5.5;  942.80;    1.4;   81.63;    4.0;   -1.2;   -2.5;eor
       3379;20180118;   10;  25.6;   8.3;    3;  10.5;   8;    3.367;   2;   7.3;   6.4;  945.03;    4.8;   75.08;    9.0;    0.4;   -0.7;eor
       3379;20180119;   10;  16.3;   4.5;    3;   2.5;   8;    4.200;   0;   7.0;   5.9;  948.23;    3.3;   76.63;    5.4;    0.7;   -0.7;eor
       3379;20180120;   10;  12.5;   3.8;    3;  11.9;   8;    1.167;   0;   7.7;   5.7;  945.83;    1.7;   83.38;    4.1;    0.3;   -0.8;eor
       3379;20180121;   10;  14.4;   4.0;    3;   5.7;   8;    1.217;   0;   7.4;   5.5;  949.91;    0.5;   85.71;    1.8;   -1.9;   -4.8;eor
       3379;20180122;   10;  11.3;   3.0;    3;  12.7;   8;    0.000;   5;   7.8;   6.9;  950.28;    2.5;   92.21;    6.7;   -1.1;   -1.7;eor
       3379;20180123;   10;   8.3;   3.0;    3;   0.2;   6;    0.000;   0;   7.6;   6.9;  962.85;    4.5;   82.38;    6.3;    2.6;   -0.3;eor
       3379;20180124;   10;   6.1;   2.1;    3;   0.0;   6;    6.700;   0;   6.8;   6.6;  961.88;    7.0;   67.50;   14.3;    2.5;   -0.4;eor
       3379;20180125;   10;   5.0;   1.8;    3;   0.0;   0;    5.433;   0;   7.8;   6.3;  956.05;    7.7;   61.83;   14.4;    2.7;   -0.7;eor
       3379;20180126;   10;   4.4;   1.7;    3;   0.0;   0;    4.600;   0;   8.0;   6.5;  955.50;    4.9;   75.63;    8.4;    1.5;   -1.6;eor
       3379;20180127;   10;   4.7;   1.4;    3;   0.0;   0;    0.000;   0;   7.9;   7.7;  967.32;    5.2;   86.63;    6.4;    4.1;    3.5;eor
       3379;20180128;   10;  11.5;   4.1;    3;   0.0;   6;    0.033;   0;   7.0;   6.9;  971.69;    7.7;   65.83;   10.5;    5.6;    3.1;eor
       3379;20180129;   10;  14.5;   4.1;    3;   0.0;   6;    9.083;   0;   2.9;   7.8;  967.91;    8.1;   73.13;   13.0;    4.6;    1.1;eor
